run_dir,group,task_id,op_family,op_name,shape,dtype,seed,final_decision,compile_success,smoke_pass,quick_pass,hidden_pass,anti_cheating_pass,latency_p50_ms,latency_p95_ms,speedup_vs_eager_p50,speedup_vs_torch_compile_p50,correct_and_faster_vs_eager,correct_and_faster_vs_torch_compile,iterations,iterations_to_first_compile,iterations_to_first_correct,wall_time_s,gpu_benchmark_runs,invalid_compile_attempts,retrieved_capsule_count,context_packet_tokens_proxy
artifacts/h20/runs_round1_softmax_pilot_v2/A0_no_kb/round1_softmax_row_softmax_4096x1024_bf16/seed0,A0_no_kb,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,KEEP,1,1,1,1,1,0.029311999678611755,0.03200000151991844,1.6724891273680225,1.7772926574466408,1,1,1,1,1,2.921372175216675,500,0,0,24
artifacts/h20/runs_round1_softmax_pilot_v2/A1_plain_rag/round1_softmax_row_softmax_4096x1024_bf16/seed0,A1_plain_rag,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,KEEP,1,1,1,1,1,0.03009600006043911,0.03331200033426285,1.6661350923991687,1.7299309361927064,1,1,1,1,1,2.4837374687194824,500,0,0,467
artifacts/h20/runs_round1_softmax_pilot_v2/A2_rulebook/round1_softmax_row_softmax_4096x1024_bf16/seed0,A2_rulebook,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,KEEP,1,1,1,1,1,0.029055999591946602,0.03155200183391571,1.659140933121384,1.7219163577696748,1,1,1,1,1,2.3539693355560303,500,0,0,99
artifacts/h20/runs_round1_softmax_pilot_v2/A3_ecc_kb/round1_softmax_row_softmax_4096x1024_bf16/seed0,A3_ecc_kb,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,KEEP,1,1,1,1,1,0.02534399926662445,0.02860799990594387,1.905303041438564,1.9419191889497163,1,1,1,1,1,2.294996976852417,500,0,1,191
