run_dir,group,task_id,op_family,op_name,shape,dtype,seed,final_decision,compile_success,smoke_pass,quick_pass,hidden_pass,anti_cheating_pass,latency_p50_ms,latency_p95_ms,speedup_vs_eager_p50,speedup_vs_torch_compile_p50,correct_and_faster_vs_eager,correct_and_faster_vs_torch_compile,iterations,iterations_to_first_compile,iterations_to_first_correct,wall_time_s,gpu_benchmark_runs,invalid_compile_attempts,retrieved_capsule_count,context_packet_tokens_proxy
artifacts/h20/runs_round1_softmax_pilot/A0_no_kb/round1_reduction_max_4096x1024_fp16/seed0,A0_no_kb,round1_reduction_max_4096x1024_fp16,reduction,max,"[4096, 1024]",fp16,0,FAIL,1,0,0,0,0,nan,nan,0.0,0.0,0,0,1,1,nan,0.25125670433044434,0,0,0,24
artifacts/h20/runs_round1_softmax_pilot/A0_no_kb/round1_softmax_row_softmax_4096x1024_bf16/seed0,A0_no_kb,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,FAIL,1,1,1,1,0,nan,nan,0.0,0.0,0,0,1,1,1,1.2371153831481934,0,0,0,24
artifacts/h20/runs_round1_softmax_pilot/A1_plain_rag/round1_reduction_max_4096x1024_fp16/seed0,A1_plain_rag,round1_reduction_max_4096x1024_fp16,reduction,max,"[4096, 1024]",fp16,0,FAIL,1,0,0,0,0,nan,nan,0.0,0.0,0,0,1,1,nan,0.20075011253356934,0,0,0,467
artifacts/h20/runs_round1_softmax_pilot/A1_plain_rag/round1_softmax_row_softmax_4096x1024_bf16/seed0,A1_plain_rag,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,FAIL,1,1,1,1,0,nan,nan,0.0,0.0,0,0,1,1,1,0.3217129707336426,0,0,0,467
artifacts/h20/runs_round1_softmax_pilot/A2_rulebook/round1_reduction_max_4096x1024_fp16/seed0,A2_rulebook,round1_reduction_max_4096x1024_fp16,reduction,max,"[4096, 1024]",fp16,0,FAIL,1,0,0,0,0,nan,nan,0.0,0.0,0,0,1,1,nan,0.25222039222717285,0,0,0,99
artifacts/h20/runs_round1_softmax_pilot/A2_rulebook/round1_softmax_row_softmax_4096x1024_bf16/seed0,A2_rulebook,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,FAIL,1,1,1,1,0,nan,nan,0.0,0.0,0,0,1,1,1,1.0396952629089355,0,0,0,99
artifacts/h20/runs_round1_softmax_pilot/A3_ecc_kb/round1_reduction_max_4096x1024_fp16/seed0,A3_ecc_kb,round1_reduction_max_4096x1024_fp16,reduction,max,"[4096, 1024]",fp16,0,FAIL,1,0,0,0,0,nan,nan,0.0,0.0,0,0,1,1,nan,0.18700551986694336,0,0,0,68
artifacts/h20/runs_round1_softmax_pilot/A3_ecc_kb/round1_softmax_row_softmax_4096x1024_bf16/seed0,A3_ecc_kb,round1_softmax_row_softmax_4096x1024_bf16,softmax,row_softmax,"[4096, 1024]",bf16,0,FAIL,1,1,1,1,0,nan,nan,0.0,0.0,0,0,1,1,1,0.4074418544769287,0,0,1,191
